N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"80,800",400,-0.49%,100,"4,823,584","5,969,783",53.59,"15,745,279",19.40,9.99,
2,SK하이닉스,"123,500","1,500",-1.20%,"5,000","899,083","728,002",49.35,"2,206,080",17.64,9.53,
3,카카오,"161,000","3,500",+2.22%,100,"714,727","443,930",32.03,"4,378,667",234.35,2.70,
4,NAVER,"417,500","8,000",+1.95%,100,"685,800","164,263",57.03,"659,220",4.25,15.22,
5,LG화학,"872,000","1,000",-0.11%,"5,000","615,565","70,592",46.99,"138,523",37.96,2.93,
6,삼성전자우,"73,600",300,-0.41%,100,"605,645","822,887",76.01,"1,194,899",17.67,N/A,
7,삼성바이오로직스,"845,000","5,000",-0.59%,"2,500","559,094","66,165",10.20,"62,854",210.72,N/A,
8,삼성SDI,"749,000","2,000",+0.27%,"5,000","515,046","68,765",43.45,"341,935",73.37,4.54,
9,현대차,"232,000","4,000",-1.69%,"5,000","495,710","213,668",29.78,"1,112,071",28.08,2.04,
10,셀트리온,"266,500",500,-0.19%,"1,000","367,548","137,917",20.49,"300,411",61.14,16.68,
11,기아,"87,800",900,-1.01%,"5,000","355,909","405,363",33.66,"2,125,963",15.77,5.05,
12,POSCO,"339,500","3,000",-0.88%,"5,000","295,999","87,187",53.78,"435,131",13.26,3.61,
13,LG생활건강,"1,743,000","12,000",-0.68%,"5,000","272,225","15,618",46.54,"27,188",37.57,17.92,
14,LG전자,"165,000","5,000",-2.94%,"5,000","270,019","163,648",31.48,"2,356,727",15.37,13.23,
15,현대모비스,"282,500","1,000",-0.35%,"5,000","267,790","94,793",36.43,"257,829",15.08,4.66,
16,SK이노베이션,"272,500","4,500",-1.62%,"5,000","251,969","92,466",22.90,"577,990",-25.77,-13.58,
17,삼성물산,"133,500","1,500",-1.11%,100,"249,494","186,887",14.87,"222,177",15.90,3.81,
18,SK텔레콤,"314,500","2,500",-0.79%,500,"226,629","72,060",45.80,"164,391",14.49,6.44,
19,KB금융,"52,800","1,000",-1.86%,"5,000","219,547","415,808",68.43,"2,130,364",5.49,8.53,
20,신한지주,"39,200",700,-1.75%,"5,000","202,507","516,600",60.59,"1,968,195",5.50,8.20,
21,SK,"275,000","2,000",-0.72%,200,"193,491","70,360",20.28,"132,786",32.03,1.11,
22,엔씨소프트,"834,000","5,000",-0.60%,500,"183,097","21,954",52.04,"91,206",38.72,20.83,
23,HMM,"47,200",50,+0.11%,"5,000","163,025","345,392",13.19,"4,636,396",44.74,8.93,
24,한국전력,"24,850",250,-1.00%,"5,000","159,528","641,964",15.42,"1,615,069",7.77,2.91,
25,LG,"100,000",0,0.00%,"5,000","157,301","157,301",33.46,"329,831",9.18,7.50,
26,삼성생명,"78,000","1,000",-1.27%,500,"156,000","200,000",13.35,"355,941",7.35,3.53,
27,삼성에스디에스,"187,500","1,500",-0.79%,500,"145,083","77,378",11.95,"107,138",23.05,6.71,
28,아모레퍼시픽,"244,000","2,000",-0.81%,500,"142,639","58,458",33.81,"119,256",170.75,0.78,
29,SK아이이테크놀로지,"199,000","6,000",+3.11%,"1,000","141,882","71,298",6.25,"674,779",N/A,11.00,
30,삼성전기,"188,500","3,000",+1.62%,"5,000","140,798","74,694",31.70,"796,892",20.74,10.92,
31,하나금융지주,"44,000",950,-2.11%,"5,000","132,106","300,242",68.30,"1,348,587",4.69,8.96,
32,SK바이오사이언스,"165,000",500,+0.30%,500,"126,225","76,500",3.84,"593,529",128.21,13.25,
33,S-Oil,"105,500","4,500",-4.09%,"2,500","118,775","112,583",77.68,"481,765",28.66,-13.07,
34,넷마블,"136,000","2,000",-1.45%,100,"116,897","85,954",23.01,"307,647",37.00,6.35,
35,하이브,"297,500","4,500",-1.49%,500,"115,819","38,931",14.48,"366,904",105.83,12.52,
36,포스코케미칼,"149,000","2,000",+1.36%,500,"115,420","77,463",7.82,"366,097",179.09,2.96,
37,KT&G,"83,600",600,-0.71%,"5,000","114,777","137,292",38.03,"537,212",9.96,13.22,
38,대한항공,"31,500",750,-2.33%,"5,000","109,564","347,821",10.86,"1,873,400",13.47,-7.22,
39,두산중공업,"25,350",700,-2.69%,"5,000","108,416","427,676",7.86,"8,787,648",-14.24,-37.20,
40,삼성화재,"215,000","4,000",-1.83%,500,"101,856","47,375",48.27,"90,542",10.71,4.96,
41,SK바이오팜,"129,500","2,000",-1.52%,500,"101,416","78,313",7.09,"303,976",-187.95,-135.18,
42,한국조선해양,"129,000","4,000",-3.01%,"5,000","91,297","70,773",17.75,"482,785",-9.87,-7.42,
43,한온시스템,"16,800",100,+0.60%,100,"89,678","533,800",18.78,"614,374",66.40,5.09,
44,롯데케미칼,"261,000","3,000",-1.14%,"5,000","89,459","34,275",26.53,"108,244",12.05,1.22,
45,LG디스플레이,"23,800",450,-1.86%,"5,000","85,160","357,816",19.79,"3,654,878",25.21,-0.79,
46,한화솔루션,"44,500",200,+0.45%,"5,000","85,119","191,278",17.20,"813,809",11.93,5.30,
47,KT,"32,500",100,+0.31%,"5,000","84,861","261,112",44.17,"1,025,628",11.28,4.76,
48,우리금융지주,"11,450",150,-1.29%,"5,000","82,700","722,268",25.90,"1,980,617",5.68,5.87,
49,고려아연,"436,000",500,-0.11%,"5,000","82,273","18,870",21.24,"21,232",12.76,8.37,
50,현대글로비스,"207,000","4,000",-1.90%,500,"77,625","37,500",34.94,"173,381",13.49,12.45,
51,기업은행,"10,400",100,-0.95%,"5,000","77,407","744,301",12.79,"1,587,806",5.09,6.44,
52,현대제철,"52,600",900,-1.68%,"5,000","70,192","133,446",19.92,"937,722",-67.01,-2.59,
53,CJ제일제당,"452,500","3,500",+0.78%,"5,000","68,120","15,054",25.22,"28,903",18.20,13.50,
54,금호석유,"218,000","5,000",-2.24%,"5,000","66,420","30,468",23.42,"259,320",7.84,20.18,
55,현대건설,"59,200",700,-1.17%,"5,000","65,923","111,356",21.61,"822,791",53.53,1.84,
56,LG유플러스,"14,750",250,-1.67%,"5,000","64,400","436,611",33.23,"1,655,196",12.43,6.46,
57,한국타이어앤테크놀로지,"51,400",200,-0.39%,500,"63,672","123,875",42.01,"186,435",14.16,5.12,
58,SKC,"160,500","6,000",+3.88%,"5,000","60,779","37,868",13.74,"523,064","-2,547.62",2.21,
59,미래에셋증권,"9,310",150,-1.59%,"5,000","59,148","635,316",14.30,"1,830,110",7.42,8.94,
60,코웨이,"79,000",500,-0.63%,500,"58,302","73,800",59.32,"99,072",13.59,31.51,
61,강원랜드,"26,550",750,-2.75%,500,"56,801","213,940",19.64,"1,036,922",-35.35,-7.92,
62,한미사이언스,"83,500","1,400",-1.65%,500,"56,199","67,305",1.75,"817,702",203.16,3.47,
63,LG이노텍,"232,000","4,500",+1.98%,"5,000","54,908","23,667",31.34,"309,317",13.49,10.20,
64,현대중공업지주,"68,900","1,900",-2.68%,"1,000","54,426","78,993",17.28,"513,892",-24.07,-8.12,
65,한국금융지주,"96,900","1,800",-1.82%,"5,000","53,998","55,726",32.62,"509,801",4.33,16.27,
66,아모레G,"63,700",400,-0.62%,500,"52,526","82,458",17.77,"168,046",124.90,0.31,
67,두산밥캣,"50,200",400,-0.79%,500,"50,325","100,249",25.94,"293,462",15.28,6.15,
68,오리온,"120,000","2,000",-1.64%,500,"47,443","39,536",39.11,"88,782",17.83,15.50,
69,맥쿼리인프라,"12,350",0,0.00%,0,"45,966","372,192",15.03,"572,666",N/A,N/A,
70,삼성엔지니어링,"23,350",800,-3.31%,"5,000","45,766","196,000",30.08,"4,866,151",16.17,16.75,
71,유한양행,"65,100",700,+1.09%,"1,000","45,552","69,973",18.61,"226,713",47.48,11.06,
72,팬오션,"8,390",200,+2.44%,"1,000","44,850","534,570",11.34,"7,156,006",35.70,3.25,
73,한진칼,"66,300","1,700",-2.50%,"2,500","44,159","66,605",15.06,"87,366",-53.99,-19.55,
